details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Super G;2021-02-28;2395;1880;1750.0;515;Rodseth Thomas;NOR;39.0;11:00;6.0;11.0;BASSINO Marta;ITA;1:15.47;2020_2021;1996-02-27;27.0;Female;Salomon;Salomon;Leki;1;6.0;1:15.47;VAL DI FASSA;ITA;40.0;40.0;4069.0
Giant Slalom;2021-12-28;1008;680;;328;Simoncelli Daniele;ITA;42.0;10:00;;42.0;LJUTIC Zrinka;CRO;;2021_2022;2004-01-26;19.0;Female;Rossignol;Rossignol;;1;48.0;1:06.43;LIENZ;AUT;;;34.0
Slalom;2022-03-09;1160;960;;200;Brun Loïc;FRA;76.0;20:45;;;ZLATKOV Kamen;BUL;;2021_2022;1997-08-09;25.0;Male;Head;Head;Leki;2;35.0;;FLACHAU;AUT;;;90.0
Slalom;2021-01-30;1165;985;;180;Suman Marko;CRO;58.0;12:30;;1.0;WINTERS Luke;USA;;2020_2021;1997-04-02;25.0;Male;Rossignol;Rossignol;;2;66.0;;CHAMONIX;FRA;;;1597.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;10.0;33.0;WINDINGSTAD Rasmus;NOR;2:06.86;2021_2022;1993-10-31;29.0;Male;Stoeckli;;;1;44.0;1:05.34;SOELDEN;AUT;26.0;;3068.0
Slalom;2022-12-11;2250;2044;;206;Day Mike;USA;67.0;13:30;20.0;15.0;BRECHE Clarisse;FRA;1:59.97;2022_2023;;;;;;;2;18.0;58.81;SESTRIERE;ITA;11.0;13.0;0.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;;55.0;ZLATKOV Kamen;BUL;;2022_2023;1997-08-09;25.0;Male;Head;Head;Leki;1;46.0;51.85;MADONNA DI CAMPIGLIO;ITA;;;159.0
Slalom;2022-01-25;958;744;;214;Thoule Nicolas;FRA;68.0;17:45;;65.0;SULKAKOSKI Oskari;FIN;;2021_2022;2000-10-20;22.0;Male;Atomic;Atomic;;1;64.0;;SCHLADMING;AUT;;;7.0
Giant Slalom;2023-02-25;2304;1918;;386;Roten Joerg;NOR;50.0;13:45;18.0;12.0;MURISIER Justin;SUI;2:26.24;2022_2023;1992-01-08;31.0;Male;Head;Head;;2;16.0;1:16.20;PALISADES TAHOE;USA;13.0;15.0;5705.0
Giant Slalom;2021-12-28;1008;680;;328;Simoncelli Daniele;ITA;42.0;10:00;;31.0;SCHMOTZ Marlene;GER;;2021_2022;1994-03-06;29.0;Female;Fischer;Fischer;Leki;1;43.0;1:05.87;LIENZ;AUT;;;794.0
Slalom;2023-02-04;1169;985;;184;Kroisleitner Martin;AUT;66.0;12:30;22.0;6.0;KETTERER David;GER;1:45.95;2022_2023;1993-06-22;29.0;Male;Atomic;Atomic;Leki;2;23.0;54.13;CHAMONIX;FRA;9.0;8.0;1655.0
Slalom;2021-03-13;597;396;;201;Gfeller Tim;NOR;68.0;13:45;;;HUBER Katharina;AUT;;2020_2021;1995-10-03;27.0;Female;Fischer;Fischer;;2;35.0;;ARE;SWE;;;3815.0
Slalom;2020-11-21;438;258;;180;Plattner Roland;AUT;66.0;11:15;;37.0;O BRIEN Nina;USA;;2020_2021;1997-11-29;25.0;Female;Rossignol;Rossignol;;1;35.0;56.86;LEVI;FIN;;;1719.0
Slalom;2021-01-17;1160;960;;200;Brun Loïc;FRA;69.0;13:45;;;JUNG Donghyun;KOR;;2020_2021;;;;;;;2;40.0;;FLACHAU;AUT;;;0.0
Giant Slalom;2022-12-27;1335;1020;;315;Prenn Alois;SUI;45.0;10:00;28.0;31.0;MIRADOLI Romane;FRA;2:11.52;2022_2023;1994-03-10;28.0;Female;Dynastar;Lange;Leki;1;28.0;1:08.63;SEMMERING;AUT;3.0;3.0;1943.0
Giant Slalom;2023-02-25;2304;1918;;386;Roten Joerg;NOR;50.0;13:45;;;FAIVRE Mathieu;FRA;;2022_2023;1992-01-18;31.0;Male;Salomon;Salomon;Leki;2;35.0;;PALISADES TAHOE;USA;;;2251.0
Slalom;2022-01-11;936;748;;188;Gamper Manuel;CAN;55.0;20:45;;;GORNOSTAEVA Anastasia;RUS;;2021_2022;;;;;;;2;40.0;;SCHLADMING;AUT;;;0.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;59.0;HILZINGER Jessica;GER;;2022_2023;1997-05-26;25.0;Female;Head;Head;;1;61.0;;SESTRIERE;ITA;;;1071.0
Slalom;2021-12-22;1733;1550;;183;Gustafsson Mika;SWE;61.0;17:45;16.0;16.0;ZUBCIC Filip;CRO;1:36.25;2021_2022;1993-01-27;30.0;Male;Atomic;Atomic;Leki;1;27.0;47.81;MADONNA DI CAMPIGLIO;ITA;15.0;4.0;841.0
Slalom;2021-01-16;1160;960;;200;Mithassel Christian;NOR;68.0;12:30;20.0;10.0;MATT Michael;AUT;1:52.99;2020_2021;1993-05-13;29.0;Male;Augment;;Leki;2;18.0;56.25;FLACHAU;AUT;11.0;13.0;3879.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;5.0;28.0;AERNI Luca;SUI;1:50.63;2021_2022;1993-03-27;29.0;Male;Fischer;Fischer;;2;16.0;56.52;ADELBODEN;SUI;45.0;15.0;5329.0
Giant Slalom;2022-01-25;1580;1206;;374;Day Mike;USA;45.0;13:30;;;DIREZ Clara;FRA;;2021_2022;1995-04-05;27.0;Female;Dynastar;Lange;Leki;2;44.0;;KRONPLATZ;ITA;;;850.0
Slalom;2021-12-22;1733;1550;;183;Gustafsson Mika;SWE;61.0;17:45;19.0;50.0;ZLATKOV Kamen;BUL;1:36.41;2021_2022;1997-08-09;25.0;Male;Head;Head;Leki;1;30.0;47.95;MADONNA DI CAMPIGLIO;ITA;12.0;1.0;90.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;28.0;23.0;KLINE Bostjan;SLO;1:14.39;2020_2021;1991-03-09;31.0;Male;Salomon;Salomon;;1;28.0;1:14.39;GARMISCH-PARTENKIRCHEN;GER;3.0;3.0;813.0
Super G;2022-12-04;2206;1680;2549.0;526;FÜrbeck Andi;GER;39.0;11:00;16.0;29.0;VENIER Stephanie;AUT;1:21.86;2022_2023;1993-12-19;29.0;Female;Head;Head;Leki;1;16.0;1:21.86;LAKE LOUISE;CAN;15.0;15.0;4985.0
Slalom;2021-01-12;1160;960;;200;Harzl Georg;GER;68.0;18:00;;22.0;ROSSETTI Marta;ITA;;2020_2021;1999-03-25;23.0;Female;Head;Head;;1;44.0;57.79;FLACHAU;AUT;;;4069.0
Super G;2022-03-05;2160;1560;1867.0;600;Pini Mauro;SVK;45.0;10:00;;34.0;REISINGER Elisabeth;AUT;;2021_2022;1996-08-02;26.0;Female;Head;Head;;1;0.0;;LENZERHEIDE;SUI;;;3953.0
Giant Slalom;2022-11-26;1066;782;;284;Simoncelli Daniele;ITA;35.0;10:00;;48.0;BENNETT Sarah;CAN;;2022_2023;;;;;;;1;41.0;55.74;KILLINGTON;USA;;;0.0
Super G;2023-01-14;1835;1355;1775.0;480;Feltrin Giovanni;ITA;30.0;11:00;35.0;52.0;JANCOVA Rebeka;SVK;1:04.08;2022_2023;;;;;;;1;35.0;1:04.08;ST. ANTON;AUT;;;0.0
Giant Slalom;2020-12-07;2070;1730;;340;Rottensteiner Michael;NOR;46.0;13:00;16.0;16.0;PHILP Trevor;CAN;2:09.84;2020_2021;1992-05-01;30.0;Male;Rossignol;Rossignol;;2;18.0;1:04.84;SANTA CATERINA;ITA;15.0;13.0;396.0
Giant Slalom;2021-01-08;1730;1310;;420;Pilarsky Mike;NOR;54.0;13:15;;;NANI Roberto;ITA;;2020_2021;;;;;;;2;54.0;;ADELBODEN;SUI;;;0.0
Slalom;2021-11-21;438;258;;180;Lackie Jeff;USA;66.0;11:30;;60.0;EGGER Magdalena;AUT;;2021_2022;;;;;;;1;44.0;55.25;LEVI;FIN;;;0.0
Super G;2021-12-02;3330;2730;1863.0;600;Anderson Pete;NOR;38.0;11:45;26.0;33.0;DANKLMAIER Daniel;AUT;1:10.92;2021_2022;1993-04-24;29.0;Male;Atomic;Atomic;;1;26.0;1:10.92;BEAVER CREEK;USA;5.0;5.0;5258.0
Slalom;2021-01-12;1160;960;;200;Thoma Christian;SWE;69.0;20:45;;;CURTONI Irene;ITA;;2020_2021;;;;;;;2;50.0;;FLACHAU;AUT;;;0.0
Slalom;2021-11-21;438;258;;180;Lackie Jeff;USA;66.0;11:30;11.0;4.0;SWENN LARSSON Anna;SWE;1:47.45;2021_2022;1991-06-18;31.0;Female;Head;Head;Leki;1;4.0;52.51;LEVI;FIN;24.0;50.0;593.0
Giant Slalom;2023-01-08;1175;855;;320;Pfitscher Heini;SUI;39.0;12:30;;;DUERR Lena;GER;;2022_2023;1991-08-04;31.0;Female;Head;Head;Leki;2;49.0;;KRANJSKA GORA;SLO;;;1071.0
Slalom;2022-11-27;980;780;;200;Brill Christian;SUI;59.0;13:00;9.0;21.0;POPOVIC Leona;CRO;1:43.86;2022_2023;1997-11-13;25.0;Female;Voelkl;Dalbello;Leki;2;18.0;52.24;KILLINGTON;USA;29.0;13.0;196.0
Giant Slalom;2022-12-27;1335;1020;;315;Prenn Alois;SUI;45.0;10:00;26.0;23.0;HOLTMANN Mina Fuerst;NOR;2:10.98;2022_2023;1995-07-17;27.0;Female;Atomic;Atomic;;1;9.0;1:06.54;SEMMERING;AUT;5.0;29.0;1846.0
Super G;2023-01-22;2160;1560;2150.0;600;Platzer Roland;SUI;43.0;11:30;14.0;5.0;SIEBENHOFER Ramona;AUT;1:24.28;2022_2023;1991-07-29;31.0;Female;Fischer;Fischer;Leki;1;14.0;1:24.28;CORTINA D' AMPEZZO;ITA;18.0;18.0;4985.0
Slalom;2022-12-11;2250;2044;;206;Harzl Georg;AUT;68.0;10:30;;56.0;SCHMOTZ Marlene;GER;;2022_2023;1994-03-06;29.0;Female;Fischer;Fischer;Leki;1;30.0;1:02.04;SESTRIERE;ITA;;1.0;1071.0
Giant Slalom;2023-03-11;1278;843;;435;Velez Romain;FRA;51.0;12:30;;;KOLEGA Samuel;CRO;;2022_2023;1999-01-15;24.0;Male;Rossignol;Rossignol;;2;51.0;;KRANJSKA GORA;SLO;;;455.0
Giant Slalom;2023-03-11;1278;843;;435;Glebov Artem;NOR;51.0;09:30;;15.0;FELLER Manuel;AUT;;2022_2023;1992-10-13;30.0;Male;Atomic;Atomic;Leki;1;65.0;;KRANJSKA GORA;SLO;;;5682.0
Slalom;2023-01-24;958;744;;214;Masdal Ola;NOR;64.0;20:45;;;RASSAT Paco;FRA;;2022_2023;1998-11-13;24.0;Male;Salomon;Salomon;;2;65.0;;SCHLADMING;AUT;;;2251.0
Slalom;2023-01-15;1475;1281;;194;Glasse-davies Tristan;GBR;65.0;10:15;;63.0;CANINS Matteo;ITA;;2022_2023;;;;;;;1;27.0;1:03.48;WENGEN;SUI;;4.0;0.0
Giant Slalom;2021-12-11;2300;1850;;450;Suman Marko;CRO;48.0;09:30;5.0;14.0;KRISTOFFERSEN Henrik;NOR;2:13.90;2021_2022;1994-07-02;28.0;Male;Van Deer;;;1;11.0;1:08.65;VAL D'ISERE;FRA;45.0;24.0;3068.0
Slalom;2022-01-16;1475;1281;;194;Deldio Simone;FRA;64.0;10:15;;48.0;SALARICH Joaquim;ESP;;2021_2022;1994-01-02;29.0;Male;Rossignol;Rossignol;;1;41.0;54.63;WENGEN;SUI;;;0.0
Giant Slalom;2020-12-14;2175;1815;;360;Baldissarutti Matteo;SVK;47.0;13:00;;;LOIPETSSPERGER Lisa Marie;GER;;2020_2021;;;;;;;2;61.0;;COURCHEVEL;FRA;;;0.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;57.0;PARAND Loevan;FRA;;2021_2022;1999-06-15;23.0;Male;Fischer;Fischer;;1;38.0;1:24.39;ADELBODEN;SUI;;;4141.0
Super G;2021-12-05;2211;1680;1971.0;531;Scheiber Florian;AUT;42.0;10:30;28.0;30.0;DELAGO Nicol;ITA;1:20.34;2021_2022;1996-01-05;27.0;Female;Atomic;Atomic;Leki;1;28.0;1:20.34;LAKE LOUISE;CAN;3.0;3.0;3799.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;9.0;16.0;SCHWARZ Marco;AUT;2:36.99;2021_2022;1995-08-16;27.0;Male;Atomic;Atomic;;1;10.0;1:20.15;ADELBODEN;SUI;29.0;26.0;5258.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;;13.0;MCGRATH Atle Lie;NOR;;2022_2023;2000-04-21;22.0;Male;Head;Head;;1;36.0;51.46;MADONNA DI CAMPIGLIO;ITA;;;4228.0
Giant Slalom;2023-01-07;1730;1310;;420;Kroisleitner Martin;AUT;55.0;13:30;19.0;14.0;TUMLER Thomas;SUI;2:35.26;2022_2023;1989-11-05;33.0;Male;Stoeckli;;;2;24.0;1:15.75;ADELBODEN;SUI;12.0;7.0;5705.0
Giant Slalom;2022-12-27;1335;1020;;315;Prenn Alois;SUI;45.0;10:00;8.0;7.0;HECTOR Sara;SWE;2:08.70;2022_2023;1992-09-04;30.0;Female;Head;Head;Leki;1;5.0;1:06.45;SEMMERING;AUT;32.0;45.0;1171.0
Super G;2021-03-18;2160;1560;1867.0;600;Pelkey Randy;USA;40.0;11:00;18.0;18.0;;GER;;2020_2021;;;;;;;1;0.0;;LENZERHEIDE;SUI;13.0;;0.0
Giant Slalom;2022-03-11;796;396;;400;Fergus Jeff;NZL;58.0;15:00;18.0;20.0;STJERNESUND Thea Louise;NOR;2:36.39;2021_2022;1996-11-24;26.0;Female;Rossignol;Rossignol;;1;8.0;1:16.16;ARE;SWE;13.0;32.0;1523.0
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;;;LAMURE Marie;FRA;;2021_2022;2001-07-14;21.0;Female;Rossignol;Rossignol;;2;67.0;;LIENZ;AUT;;;850.0
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;23.0;11.0;MAIR Chiara;AUT;1:44.50;2021_2022;1996-08-31;26.0;Female;Voelkl;Dalbello;Leki;2;20.0;51.67;LIENZ;AUT;8.0;11.0;3953.0
Super G;2021-12-17;2010;1410;2415.0;600;Evers Andreas;GER;42.0;11:45;34.0;1.0;BAILET Matthieu;FRA;1:27.83;2021_2022;1996-04-23;26.0;Male;Head;Head;Leki;1;34.0;1:27.83;VAL GARDENA-GROEDEN;ITA;;;4141.0
Super G;2022-01-16;1875;1380;1900.0;495;Viale Marco;FRA;36.0;11:30;13.0;3.0;TIPPLER Tamara;AUT;1:11.58;2021_2022;1991-04-09;31.0;Female;Salomon;Salomon;;1;13.0;1:11.58;ZAUCHENSEE;AUT;20.0;20.0;3953.0
Giant Slalom;2020-12-07;2070;1730;;340;Rottensteiner Michael;NOR;46.0;13:00;26.0;7.0;MEINERS Maarten;NED;2:10.94;2020_2021;1992-02-08;31.0;Male;Rossignol;Rossignol;;2;25.0;1:05.26;SANTA CATERINA;ITA;5.0;6.0;0.0
Giant Slalom;2020-10-18;3040;2670;;370;Perrin Frédéric;FRA;49.0;10:00;;61.0;JAKOBSEN Kristoffer;SWE;;2020_2021;1994-09-09;28.0;Male;Fischer;Fischer;Leki;1;58.0;;SOELDEN;AUT;;;553.0
Slalom;2020-11-22;438;258;;180;Day Mike;USA;64.0;11:15;14.0;12.0;HUBER Katharina;AUT;1:51.14;2020_2021;1995-10-03;27.0;Female;Fischer;Fischer;;1;23.0;55.87;LEVI;FIN;18.0;8.0;3815.0
Super G;2020-12-20;2408;1810;2142.0;598;FÜrbeck Andreas;GER;43.0;11:00;2.0;7.0;SUTER Corinne;SUI;1:24.67;2020_2021;1994-09-28;28.0;Female;Head;Head;Leki;1;2.0;1:24.67;VAL D'ISERE;FRA;80.0;80.0;3753.0
Slalom;2023-01-10;1170;960;;210;Pini Mauro;SVK;70.0;18:00;;62.0;ZELGER Lorina;SUI;;2022_2023;;;;;;;1;12.0;1:02.48;FLACHAU;AUT;;22.0;0.0
Giant Slalom;2022-03-13;1278;846;;432;Husby Anders;NOR;51.0;12:30;;;RAUCHFUSS Julian;GER;;2021_2022;1994-09-02;28.0;Male;Rossignol;Rossignol;;2;57.0;;KRANJSKA GORA;SLO;;;1867.0
Slalom;2022-01-25;958;744;;214;Joris Matteo;SUI;65.0;20:45;;;SEYMOUR Jett;USA;;2021_2022;1998-11-05;24.0;Male;Fischer;Fischer;;2;47.0;;SCHLADMING;AUT;;;1151.0
Slalom;2023-01-28;944;757;;187;Poljsak Sergej;SLO;58.0;12:30;13.0;22.0;HECTOR Sara;SWE;1:36.69;2022_2023;1992-09-04;30.0;Female;Head;Head;Leki;2;26.0;46.85;SPINDLERUV MLYN;CZE;20.0;5.0;1171.0
Giant Slalom;2022-01-08;1230;849;;381;Guillot-patrique Pierre;FRA;45.0;09:30;;10.0;ROBINSON Alice;NZL;;2021_2022;2001-12-01;21.0;Female;Salomon;Salomon;;1;52.0;1:11.79;KRANJSKA GORA;SLO;;;326.0
Slalom;2022-11-27;980;780;;200;Lindman Pernille;NOR;60.0;10:15;;52.0;ASTNER Nina;AUT;;2022_2023;2000-07-24;22.0;Female;Fischer;Fischer;;1;1.0;1:00.87;KILLINGTON;USA;;100.0;4985.0
Giant Slalom;2022-12-27;1335;1020;;315;Andersson Magnus;USA;43.0;13:00;;;PIROVANO Laura;ITA;;2022_2023;1997-11-20;25.0;Female;Head;Head;Leki;2;51.0;;SEMMERING;AUT;;;3911.0
Slalom;2023-01-04;950;768;;182;Mayrhofer Klaus;AUT;60.0;16:30;6.0;21.0;RAST Camille;SUI;1:39.15;2022_2023;1999-07-09;23.0;Female;Salomon;Salomon;;2;19.0;48.48;ZAGREB;CRO;40.0;12.0;4705.0
Giant Slalom;2020-12-20;1868;1420;;448;Pircher Michael;AUT;55.0;13:30;27.0;5.0;ZAMPA Andreas;SVK;2:29.90;2020_2021;1993-08-13;29.0;Male;Salomon;Salomon;;2;21.0;1:14.56;ALTA BADIA;ITA;4.0;10.0;26.0
Slalom;2021-01-10;1513;1302;;211;Masdal Ola;SWE;69.0;13:30;2.0;20.0;STRASSER Linus;GER;1:52.83;2020_2021;1992-11-06;30.0;Male;Rossignol;Rossignol;Leki;2;11.0;58.73;ADELBODEN;SUI;80.0;24.0;1700.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;23.0;BORSOTTI Giovanni;ITA;;2021_2022;1990-12-18;32.0;Male;Rossignol;Rossignol;Leki;1;141.0;;SOELDEN;AUT;;;1936.0
Slalom;2022-03-09;1160;960;;200;Brun Loïc;FRA;76.0;20:45;;;KETTERER David;GER;;2021_2022;1993-06-22;29.0;Male;Atomic;Atomic;Leki;2;61.0;;FLACHAU;AUT;;;1867.0
Super G;2021-12-17;2010;1410;2415.0;600;Evers Andreas;GER;42.0;11:45;54.0;55.0;VON APPEN Henrik;CHI;1:29.92;2021_2022;1994-12-15;28.0;Male;Head;Head;;1;54.0;1:29.92;VAL GARDENA-GROEDEN;ITA;;;0.0
Slalom;2023-02-26;2113;1907;;206;Vuignier Julian;SUI;64.0;10:00;27.0;46.0;DEL CAMPO Juan;ESP;1:49.66;2022_2023;1994-06-28;28.0;Male;Atomic;Atomic;;1;30.0;54.13;PALISADES TAHOE;USA;4.0;1.0;158.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;;61.0;HANSSON William;SWE;;2022_2023;;;;;;;1;65.0;;MADONNA DI CAMPIGLIO;ITA;;;0.0
Slalom;2021-01-31;1165;985;;180;Glasse-davies Tristan;GBR;63.0;09:30;;68.0;HONG Dongkwan;KOR;;2020_2021;;;;;;;1;64.0;;CHAMONIX;FRA;;;0.0
Slalom;2023-01-04;942;735;;207;Schwarzacher Paul;AUT;67.0;15:40;15.0;25.0;ZUBCIC Filip;CRO;1:50.67;2022_2023;1993-01-27;30.0;Male;Atomic;Atomic;Leki;1;30.0;56.89;GARMISCH-PARTENKIRCHEN;GER;16.0;1.0;455.0
Giant Slalom;2021-01-26;1580;1206;;374;Roten Joerg;SUI;45.0;13:30;;;HURT A J;USA;;2020_2021;2000-12-05;22.0;Female;Head;Head;;2;41.0;;KRONPLATZ;ITA;;;1719.0
Super G;2021-02-28;2395;1880;1750.0;515;Rodseth Thomas;NOR;39.0;11:00;37.0;44.0;FRASSE SOMBET Coralie;FRA;1:17.84;2020_2021;1991-04-08;31.0;Female;Head;Head;Leki;1;37.0;1:17.84;VAL DI FASSA;ITA;;;1086.0
Slalom;2021-11-20;438;258;;180;Brill Christian;SUI;66.0;14:30;;;BOSTROEM MUSSENER Moa;SWE;;2021_2022;;;;;;;2;75.0;;LEVI;FIN;;;0.0
Giant Slalom;2022-03-11;796;396;;400;Fergus Jeff;NZL;58.0;15:00;;31.0;SCHMOTZ Marlene;GER;;2021_2022;1994-03-06;29.0;Female;Fischer;Fischer;Leki;1;40.0;;ARE;SWE;;;794.0
Slalom;2022-12-11;2250;2044;;206;Harzl Georg;AUT;68.0;10:30;29.0;20.0;TVIBERG Maria Therese;NOR;2:00.81;2022_2023;1994-04-07;28.0;Female;Head;Head;;1;12.0;1:00.90;SESTRIERE;ITA;2.0;22.0;1846.0
Slalom;2022-12-29;1230;1020;;210;Dumoulin Pierre-luc;CAN;64.0;18:35;;30.0;GULLI Anita;ITA;;2022_2023;1998-06-26;24.0;Female;Voelkl;Dalbello;Leki;2;54.0;;SEMMERING;AUT;;;3911.0
Slalom;2022-01-09;1513;1302;;211;Pozar Matjaz;SLO;66.0;10:30;;24.0;HIRSCHBUEHL Christian;AUT;;2021_2022;;;;;;;1;54.0;;ADELBODEN;SUI;;;0.0
Giant Slalom;2023-02-25;2304;1918;;386;Roten Joerg;NOR;50.0;13:45;;;GSTREIN Fabio;AUT;;2022_2023;1997-06-14;25.0;Male;Atomic;Atomic;;2;50.0;;PALISADES TAHOE;USA;;;5682.0
Slalom;2023-02-26;2113;1907;;206;Borisov Ivan;BUL;67.0;13:15;1.0;19.0;STEEN OLSEN Alexander;NOR;1:47.47;2022_2023;2001-08-18;21.0;Male;Rossignol;Rossignol;;2;6.0;54.63;PALISADES TAHOE;USA;100.0;40.0;4228.0
Giant Slalom;2022-01-08;1730;1310;;420;Kroisleitner Martin;AUT;53.0;13:30;14.0;18.0;SOLHEIM Fabian Wilkens;NOR;2:38.44;2021_2022;1996-04-10;26.0;Male;Head;Head;;2;23.0;1:17.83;ADELBODEN;SUI;18.0;8.0;3068.0
Slalom;2020-12-22;1733;1550;;183;Del Dio Simone;FRA;61.0;20:45;;;DIGRUBER Marc;AUT;;2020_2021;1988-04-29;34.0;Male;Atomic;Atomic;Leki;2;37.0;;MADONNA DI CAMPIGLIO;ITA;;;3879.0
Giant Slalom;2022-03-06;1920;1530;;390;Miniotti Pierre;SWE;48.0;10:00;;50.0;CRAWFORD Candace;CAN;;2021_2022;;;;;;;1;35.0;1:05.50;LENZERHEIDE;SUI;;;0.0
Giant Slalom;2021-01-17;1229;843;;386;Harzl Georg;GER;47.0;09:15;;59.0;PIROVANO Laura;ITA;;2020_2021;1997-11-20;25.0;Female;Head;Head;Leki;1;42.0;1:20.84;KRANJSKA GORA;SLO;;;4069.0
Giant Slalom;2022-01-25;1580;1206;;374;Haarala Janne;NOR;44.0;10:30;20.0;33.0;MOERZINGER Elisa;AUT;2:05.60;2021_2022;1997-05-06;25.0;Female;Rossignol;Rossignol;;1;12.0;1:01.60;KRONPLATZ;ITA;11.0;22.0;3953.0
Slalom;2020-11-22;438;258;;180;Day Mike;USA;64.0;11:15;;32.0;BASSINO Marta;ITA;;2020_2021;1996-02-27;27.0;Female;Salomon;Salomon;Leki;1;58.0;;LEVI;FIN;;;4069.0
Super G;2021-12-29;1886;2145;2129.0;-259;Brunner Sepp;AUT;41.0;11:30;15.0;16.0;MEILLARD Loic;SUI;1:29.62;2021_2022;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;15.0;1:29.62;BORMIO;ITA;16.0;16.0;5329.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;34.0;MOERZINGER Elisa;AUT;;2022_2023;1997-05-06;25.0;Female;Rossignol;Rossignol;;1;38.0;1:16.00;SESTRIERE;ITA;;;4985.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;39.0;39.0;BENNETT Bryce;USA;1:14.90;2020_2021;1992-07-14;30.0;Male;Fischer;Fischer;;1;39.0;1:14.90;GARMISCH-PARTENKIRCHEN;GER;;;1597.0
Slalom;2020-12-22;1733;1550;;183;Del Dio Simone;FRA;61.0;20:45;;;SEYMOUR Jett;USA;;2020_2021;1998-11-05;24.0;Male;Fischer;Fischer;;2;35.0;;MADONNA DI CAMPIGLIO;ITA;;;1597.0
Giant Slalom;2021-01-09;1730;1310;;420;Lorenzi Roberto;ITA;53.0;13:30;;;WINDINGSTAD Rasmus;NOR;;2020_2021;1993-10-31;29.0;Male;Stoeckli;;;2;41.0;;ADELBODEN;SUI;;;4399.0
Super G;2022-03-17;1865;1290;1857.0;575;Ghidoni Alberto;ITA;36.0;11:30;2.0;9.0;ODERMATT Marco;SUI;1:09.96;2021_2022;1997-10-08;25.0;Male;Stoeckli;Salomon;Leki;1;2.0;1:09.96;COURCHEVEL/MERIBEL;FRA;80.0;80.0;5329.0
Super G;2021-12-02;3330;2730;1863.0;600;Anderson Pete;NOR;38.0;11:45;10.0;30.0;CAVIEZEL Gino;SUI;1:10.00;2021_2022;1992-06-23;30.0;Male;Dynastar;Lange;Leki;1;10.0;1:10.00;BEAVER CREEK;USA;26.0;26.0;5329.0
Slalom;2021-11-21;438;258;;180;Huttegger Gerhard;AUT;65.0;14:30;;;NULLMEYER Ali;CAN;;2021_2022;1998-08-21;24.0;Female;Atomic;Atomic;Leki;2;47.0;;LEVI;FIN;;;712.0
Giant Slalom;2022-12-27;1335;1020;;315;Prenn Alois;SUI;45.0;10:00;;67.0;SZOLLOS Noa;ISR;;2022_2023;;;;;;;1;49.0;1:13.43;SEMMERING;AUT;;;0.0
Super G;2020-12-29;1886;1245;2129.0;641;Evers Andy;GER;46.0;11:30;44.0;43.0;SCHIEDER Florian;ITA;1:33.70;2020_2021;1995-12-26;27.0;Male;Atomic;Atomic;;1;44.0;1:33.70;BORMIO;ITA;;;2205.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;48.0;TORSTI Samu;FIN;;2021_2022;1991-09-05;31.0;Male;Head;Head;Leki;1;84.0;1:06.60;SOELDEN;AUT;;;7.0
Giant Slalom;2023-03-12;1278;843;;435;Epstein Poul;SVK;53.0;09:30;;43.0;JORDAN Asher;CAN;;2022_2023;1999-11-23;23.0;Male;Atomic;Atomic;;1;49.0;;KRANJSKA GORA;SLO;;;1184.0
Slalom;2020-12-22;1733;1550;;183;Del Dio Simone;FRA;61.0;20:45;;;RITCHIE Benjamin;USA;;2020_2021;2000-09-05;22.0;Male;Dynastar;Lange;;2;40.0;;MADONNA DI CAMPIGLIO;ITA;;;1597.0
Slalom;2023-01-04;950;768;;182;Mayrhofer Klaus;AUT;60.0;16:30;;;MOLLIN Axelle;BEL;;2022_2023;;;;;;;2;25.0;;ZAGREB;CRO;;6.0;0.0
